episode,qlearning_reward,qlearning_length,qlearning_success,qlearning_eps,prospect_reward,prospect_length,prospect_success,prospect_eps,sarsa_reward,sarsa_length,sarsa_success,sarsa_eps,double_q_reward,double_q_length,double_q_success,double_q_eps,ucb_reward,ucb_length,ucb_success,ucb_eps,expected_sarsa_reward,expected_sarsa_length,expected_sarsa_success,expected_sarsa_eps
103,-144.5909,180,0,0.458782,-144.4902,180,0,0.893508,-144.5910,180,0,0.784072,-144.5135,180,0,0.358243,-144.6485,180,0,0.000000,-144.6260,180,0,0.648142
104,-144.5150,180,0,0.455325,-144.5112,180,0,0.892532,-144.5773,180,0,0.782222,-144.5039,180,0,0.354690,-144.5262,180,0,0.000000,-144.5860,180,0,0.645419
105,-144.5419,180,0,0.451893,-144.4461,180,0,0.891556,-144.5827,180,0,0.780377,-144.5798,180,0,0.351173,-144.6491,180,0,0.000000,-144.5759,180,0,0.642707
106,-144.6230,180,0,0.448488,-144.4948,180,0,0.890582,-144.6213,180,0,0.778536,-144.5441,180,0,0.347690,-144.5380,180,0,0.000000,-144.5448,180,0,0.640007
107,-144.5203,180,0,0.445108,-144.5574,180,0,0.889609,-144.5574,180,0,0.776700,-144.5371,180,0,0.344242,-144.5591,180,0,0.000000,-144.5744,180,0,0.637318
108,-144.6110,180,0,0.441753,-144.5141,180,0,0.888637,-144.5833,180,0,0.774868,-144.5528,180,0,0.340828,-144.5441,180,0,0.000000,-144.5881,180,0,0.634640
109,-144.5117,180,0,0.438424,-144.5471,180,0,0.887666,-144.5827,180,0,0.773040,-144.5249,180,0,0.337448,-144.5894,180,0,0.000000,-144.5668,180,0,0.631974
110,-144.5846,180,0,0.435120,-144.4289,180,0,0.886696,-144.6248,180,0,0.771216,-144.5565,180,0,0.334102,-144.5504,180,0,0.000000,-144.6036,180,0,0.629319
111,-144.5571,180,0,0.431841,-144.4476,180,0,0.885728,-144.5685,180,0,0.769397,-144.6144,180,0,0.330788,-144.5625,180,0,0.000000,-144.5579,180,0,0.626675
112,-144.5700,180,0,0.428586,-144.5172,180,0,0.884760,-144.5844,180,0,0.767582,-144.6201,180,0,0.327508,-144.6059,180,0,0.000000,-144.5659,180,0,0.624042
113,-144.5459,180,0,0.425356,-144.4848,180,0,0.883793,-144.5958,180,0,0.765771,-144.5616,180,0,0.324260,-144.6034,180,0,0.000000,-144.5650,180,0,0.621420
114,-144.5234,180,0,0.422151,-144.5550,180,0,0.882827,-144.5620,180,0,0.763965,-144.5420,180,0,0.321044,-144.5271,180,0,0.000000,-144.6493,180,0,0.618810
115,-144.5661,180,0,0.418969,-144.4509,180,0,0.881863,-144.5540,180,0,0.762163,-144.5676,180,0,0.317861,-144.5476,180,0,0.000000,-144.6114,180,0,0.616210
116,-144.6168,180,0,0.415812,-144.5329,180,0,0.880899,-144.5719,180,0,0.760365,-144.5638,180,0,0.314708,-144.5707,180,0,0.000000,-144.5865,180,0,0.613621
117,-144.5470,180,0,0.412678,-144.5489,180,0,0.879937,-144.6208,180,0,0.758571,-144.5573,180,0,0.311587,-144.5702,180,0,0.000000,-144.5261,180,0,0.611043
118,-144.5180,180,0,0.409568,-144.4727,180,0,0.878975,-144.5825,180,0,0.756782,-144.5359,180,0,0.308497,-144.6010,180,0,0.000000,-144.5552,180,0,0.608476
119,-144.5585,180,0,0.406482,-144.4337,180,0,0.878015,-144.6416,180,0,0.754997,-144.5626,180,0,0.305438,-144.5284,180,0,0.000000,-144.5078,180,0,0.605919
120,-144.5015,180,0,0.403418,-144.4817,180,0,0.877056,-144.5591,180,0,0.753216,-144.5600,180,0,0.302409,-144.6249,180,0,0.000000,-144.5438,180,0,0.603374
121,-144.5671,180,0,0.400378,-144.4461,180,0,0.876097,-144.6340,180,0,0.751439,-144.5854,180,0,0.299410,-144.5330,180,0,0.000000,-144.5509,180,0,0.600839
122,-144.5988,180,0,0.397361,-144.5103,180,0,0.875140,-144.5382,180,0,0.749666,-144.5848,180,0,0.296441,-144.5469,180,0,0.000000,-144.5195,180,0,0.598314
123,-144.6498,180,0,0.394366,-144.5277,180,0,0.874184,-144.6115,180,0,0.747898,-144.5734,180,0,0.293501,-144.6476,180,0,0.000000,-144.6317,180,0,0.595801
